Archivo Físico,Match Excel,COL_1 Esperado,COL_1 Extraído,Match COL_1,COL_2 Esperado,COL_2 Extraído,Match COL_2,COL_3 Esperado,COL_3 Extraído,Match COL_3,Exactitud Ticket
base64decoded - 2026-01-21T161327.692.jpeg,base64decoded - 2026-01-21T161327.692.jpeg,COL 1. 27514 34320,COL 1. 27514 34320,True,COL 2. 81104 90570,COL 2. 81104 90570,True,COL 3. 81379 78414,COL 3. 81379 78414,True,3/3
base64decoded - 2026-01-21T161645.501.png,base64decoded - 2026-01-21T161645.501.png,COL 1. 40321 96957,,False,COL 2. 71037 23353,,False,COL 3. 00593 44055,,False,0/3
70.png,70.png,COL 1. 22598 90981,COL 1. 22598 90981,True,COL 2. 00133 93544,COL 2. 00133 93544,True,COL 3. 61513 57055,COL 3. 61513 57055,True,3/3
base64decoded (1).png,base64decoded (1).png,COL 1. 68333 02894,,False,COL 2. 21348 04398,COL 2. 21348 04398,True,COL 3. 43836 49788,COL 3. 43836 49788,True,2/3
58.png,58.png,COL 1. 25456 27305,,False,COL 2. 20612 51410,,False,COL 3. 66304 85052,,False,0/3
96.jfif,96.jfif,COL 1. 99417 79440,,False,COL 2. 90149 64444,,False,COL 3. 31826 87897,,False,0/3
base64decoded - 2026-01-21T160827.406.png,base64decoded - 2026-01-21T160827.406.png,COL 1. 04446 73145,COL 1. 04446 73145,True,COL 2. 30415 61455,COL 2. 30415 61455,True,COL 3. 64567 82231,,False,2/3
159.png,159.png,COL 1. 68507 53198,COL 1. 68507 53198,True,COL 2. 21417 61551,COL 2. 21417 61551,True,COL 3. 94762 17378,COL 3. 94762 17378,True,3/3
171.png,171.png,COL 1. 68576 36864,COL 1. 68576 36864,True,COL 2. 41007 20556,COL 2. 41007 20556,True,COL 3. 30595 14540,COL 3. 30595 14540,True,3/3
base64decoded - 2026-01-21T152941.656.png,base64decoded - 2026-01-21T152941.656.png,COL 1. 10534 42150,COL 1. 10534 42150,True,COL 2. 53312 01591,COL 2. 53312 01591,True,COL 3. 83334 39732,COL 3. 83334 39732,True,3/3
165.png,165.png,COL 1. 93037 34465,COL 1. 93037 34465,True,COL 2. 10143 04568,COL 2. 10143 04568,True,COL 3. 61846 54115,,False,2/3
base64decoded - 2026-01-21T160047.731.png,base64decoded - 2026-01-21T160047.731.png,COL 1. 42501 07190,COL 1. 42501 07190,True,COL 2. 83112 01561,COL 2. 83112 01561,True,COL 3. 01344 31521,COL 3. 01344 31521,True,3/3
base64decoded - 2026-01-21T154148.929.png,base64decoded - 2026-01-21T154148.929.png,COL 1. 23541 79656,COL 1. 23541 79656,True,COL 2. 81064 66572,COL 2. 81064 66572,True,COL 3. 90850 77431,COL 3. 90850 77431,True,3/3
base64decoded - 2026-01-21T162457.844.png,base64decoded - 2026-01-21T162457.844.png,COL 1. 40818 23861,COL 1. 40818 23861,True,COL 2. 34456 63855,COL 2. 34456 63855,True,COL 3. 64563 67350,COL 3. 64563 67350,True,3/3
base64decoded - 2026-01-21T162350.709.jpeg,base64decoded - 2026-01-21T162350.709.jpeg,COL 1. 11517 80456,,False,COL 2. 00149 94546,COL 2. 00149 94546,True,COL 3. 21816 56121,COL 3. 21816 56121,True,2/3
base64decoded - 2026-01-21T155248.839.png,base64decoded - 2026-01-21T155248.839.png,COL 1. 53860 93684,COL 1. 53860 93684,True,COL 2. 56467 66855,COL 2. 56467 66855,True,COL 3. 84860 08506,COL 3. 84860 08506,True,3/3
base64decoded - 2026-01-21T160512.711.png,base64decoded - 2026-01-21T160512.711.png,COL 1. 86448 27060,COL 1. 86448 27060,True,COL 2. 54003 30823,,False,COL 3. 10488 65890,,False,1/3
373.png,373.png,COL 1. 76338 65104,COL 1. 76338 65104,True,COL 2. 01012 31326,COL 2. 01012 31326,True,COL 3. 40782 42541,COL 3. 40782 42541,True,3/3
367.png,367.png,COL 1. 37538 66493,COL 1. 37538 66493,True,COL 2. 11006 20550,COL 2. 11006 20550,True,COL 3. 80399 73359,COL 3. 80399 73359,True,3/3
371.png,371.png,COL 1. 61567 97153,COL 1. 61567 97153,True,COL 2. 83616 51511,COL 2. 83616 51511,True,COL 3. 46501 32447,COL 3. 46501 32447,True,3/3
365.png,365.png,COL 1. 81510 44156,COL 1. 81510 44156,True,COL 2. 31116 91571,COL 2. 31116 91571,True,COL 3. 51772 72824,COL 3. 51772 72824,True,3/3
base64decoded (82).png,base64decoded (82).png,COL 1. 48303 89631,COL 1. 48303 89631,True,COL 2. 30168 66348,COL 2. 30168 66348,True,COL 3. 21820 94697,COL 3. 21820 94697,True,3/3
base64decoded - 2026-01-21T154022.392.png,base64decoded - 2026-01-21T154022.392.png,COL 1. 08189 08011,COL 1. 08189 08011,True,COL 2. 71407 60351,COL 2. 71407 60351,True,COL 3. 04369 49062,COL 3. 04369 49062,True,3/3
72.jpg,72.jpg,COL 1. 03651 38353,,False,COL 2. 56130 93844,COL 2. 56130 93844,True,COL 3. 51513 07750,,False,1/3
base64decoded - 2026-01-21T154546.333.png,base64decoded - 2026-01-21T154546.333.png,COL 1. 98718 80074,,False,COL 2. 91109 90740,,False,COL 3. 61319 20113,,False,0/3
359.png,359.png,COL 1. 66131 66363,,False,COL 2. 81132 03763,,False,COL 3. 61543 24468,COL 3. 61543 24468,True,1/3
base64decoded - 2026-01-21T151752.547.png,base64decoded - 2026-01-21T151752.547.png,COL 1. 99316 19008,COL 1. 99316 19008,True,COL 2. 40108 60344,COL 2. 40108 60344,True,COL 3. 21428 94577,COL 3. 21428 94577,True,3/3
1.jpeg,1.jpeg,COL 1. 15355 50899,COL 1. 15355 50899,True,COL 2. 01146 94344,COL 2. 01146 94344,True,COL 3. 01816 44947,COL 3. 01816 44947,True,3/3
173.png,173.png,COL 1. 19379 82596,COL 1. 19379 82596,True,COL 2. 90311 01392,COL 2. 90311 01392,True,COL 3. 23531 95677,COL 3. 23531 95677,True,3/3
base64decoded - 2026-01-21T153012.417.png,base64decoded - 2026-01-21T153012.417.png,COL 1. 25416 85970,,False,COL 2. 00089 36423,,False,COL 3. 30583 81482,,False,0/3
167.png,167.png,COL 1. 46549 29452,COL 1. 46549 29452,True,COL 2. 43046 64574,COL 2. 43046 64574,True,COL 3. 80856 30409,COL 3. 80856 30409,True,3/3
99.png,99.png,COL 1. 62152 51118,,False,COL 2. 21117 91578,,False,COL 3. 91374 16926,,False,0/3
198.png,198.png,COL 1. 53562 37153,,False,COL 2. 11616 51516,,False,COL 3. 26702 71400,COL 3. 26702 71400,True,1/3
66.png,66.png,COL 1. 10537 51300,COL 1. 10537 51300,True,COL 2. 40137 03563,COL 2. 40137 03563,True,COL 3. 61543 51424,COL 3. 61543 51424,True,3/3
base64decoded - 2026-01-21T161203.087.jpg,base64decoded - 2026-01-21T161203.087.jpg,COL 1. 76033 18100,,False,COL 2. 60016 21356,,False,COL 3. 40792 92613,,False,0/3
18.jfif,18.jfif,COL 1. 16812 49160,,False,COL 2. 26111 61848,COL 2. 26111 61848,True,COL 3. 51324 02426,,False,1/3
base64decoded - 2026-01-21T163553.841.png,base64decoded - 2026-01-21T163553.841.png,COL 1. 93653 32155,COL 1. 93653 32155,True,COL 2. 46117 91846,COL 2. 46117 91846,True,COL 3. 31712 03499,COL 3. 31712 03499,True,3/3
base64decoded - 2026-01-21T160426.307.png,base64decoded - 2026-01-21T160426.307.png,COL 1. 25659 17156,COL 1. 25659 17156,True,COL 2. 06317 01891,COL 2. 06317 01891,True,COL 3. 33334 08298,COL 3. 33334 08298,True,3/3
211.png,211.png,COL 1. 81557 52408,COL 1. 81557 52408,True,COL 2. 43346 04596,COL 2. 43346 04596,True,COL 3. 43836 38905,COL 3. 43836 38905,True,3/3
base64decoded (94).png,base64decoded (94).png,COL 1. 50528 06594,,False,COL 2. 40049 24550,,False,COL 3. 60896 59567,,False,0/3
base64decoded - 2026-01-21T164009.345.jfif,base64decoded - 2026-01-21T164009.345.jfif,COL 1. 05517 29046,COL 1. 05517 29046,True,COL 2. 71149 60541,COL 2. 71149 60541,True,COL 3. 91428 15805,COL 3. 91428 15805,True,3/3
base64decoded - 2026-01-21T160116.011.png,base64decoded - 2026-01-21T160116.011.png,COL 1. 86572 29156,,False,COL 2. 81114 61549,,False,COL 3. 81527 74584,COL 3. 81527 74584,True,1/3
50.jpeg,50.jpeg,COL 1. 81787 27018,COL 1. 81787 27018,True,COL 2. 71100 00764,COL 2. 71100 00764,True,COL 3. 61545 25366,COL 3. 61545 25366,True,3/3
base64decoded - 2026-01-21T163627.979.png,base64decoded - 2026-01-21T163627.979.png,COL 1. 69846 32745,COL 1. 69846 32745,True,COL 2. 16355 01891,COL 2. 16355 01891,True,COL 3. 03537 04148,COL 3. 03537 04148,True,3/3
base64decoded - 2026-01-21T161300.085.jpg,base64decoded - 2026-01-21T161300.085.jpg,COL 1. 71717 74073,COL 1. 71717 74073,True,COL 2. 41109 90774,COL 2. 41109 90774,True,COL 3. 61575 24457,,False,2/3
base64decoded - 2026-01-21T153957.873.png,base64decoded - 2026-01-21T153957.873.png,COL 1. 13566 09196,COL 1. 13566 09196,True,COL 2. 01014 61571,COL 2. 01014 61571,True,COL 3. 80551 71098,COL 3. 80551 71098,True,3/3
204.png,204.png,COL 1. 32404 75386,COL 1. 32404 75386,True,COL 2. 50009 30420,COL 2. 50009 30420,True,COL 3. 30389 86464,COL 3. 30389 86464,True,3/3
base64decoded - 2026-01-21T163915.487.jpeg,base64decoded - 2026-01-21T163915.487.jpeg,COL 1. 42354 31639,COL 1. 42354 31639,True,COL 2. 60166 96346,COL 2. 60160 98346,False,COL 3. 21810 91123,COL 3. 21010 91123,False,1/3
base64decoded (57).png,base64decoded (57).png,COL 1. 43507 76804,COL 1. 43507 76804,True,COL 2. 03042 24550,COL 2. 03042 24550,True,COL 3. 00896 36603,COL 3. 00896 36603,True,3/3
base64decoded - 2026-01-21T153248.428.png,base64decoded - 2026-01-21T153248.428.png,COL 1. 28519 24931,COL 1. 26519 24931,False,COL 2. 51134 93570,COL 2. 51134 93570,True,COL 3. 61573 72531,COL 3. 61573 72531,True,2/3
199.png,199.png,COL 1. 10848 72364,COL 1. 10848 72364,True,COL 2. 06300 00890,COL 2. 06300 00890,True,COL 3. 53339 05932,COL 3. 53339 05932,True,3/3
base64decoded - 2026-01-21T164535.581.jpg,base64decoded - 2026-01-21T164535.581.jpg,COL 1. 85416 14130,COL 1. 85416 14130,True,COL 2. 60133 91470,COL 2. 60133 91470,True,COL 3. 91374 88778,COL 3. 91374 88778,True,3/3
67.png,67.png,COL 1. 16783 77073,,False,COL 2. 41104 00760,COL 2. 41104 00760,True,COL 3. 61545 22420,,False,1/3
73.png,73.png,COL 1. 44830 72790,COL 1. 44830 72790,True,COL 2. 44315 01891,COL 2. 44315 01891,True,COL 3. 53732 65479,COL 3. 53732 65479,True,3/3
11.jpeg,11.jpeg,COL 1. 87545 03264,,False,COL 2. 71444 64556,,False,COL 3. 64866 11692,,False,0/3
base64decoded - 2026-01-21T160559.959.png,base64decoded - 2026-01-21T160559.959.png,COL 1. 19402 22884,COL 1. 19402 22884,True,COL 2. 30366 06495,COL 2. 30366 06495,True,COL 3. 13830 87184,COL 3. 13830 87184,True,3/3
base64decoded - 2026-01-21T160916.544.png,base64decoded - 2026-01-21T160916.544.png,COL 1. 67807 76597,COL 1. 67807 76597,True,COL 2. 16017 21851,COL 2. 16017 21851,True,COL 3. 50597 05895,COL 3. 50597 05895,True,3/3
base64decoded (41).png,base64decoded (41).png,COL 1. 86884 77592,COL 1. 86884 77592,True,COL 2. 44113 01869,COL 2. 44113 01869,True,COL 3. 51541 66849,COL 3. 51541 66849,True,3/3
166.png,166.png,COL 1. 39407 45870,COL 1. 39407 45870,True,COL 2. 60009 30420,COL 2. 60009 30420,True,COL 3. 30585 89446,COL 3. 30585 89446,True,3/3
98.png,98.png,COL 1. 69830 27758,COL 1. 69830 27758,True,COL 2. 66110 01868,COL 2. 66110 01868,True,COL 3. 51742 09560,COL 3. 51742 09560,True,3/3
base64decoded - 2026-01-21T162431.663.jfif,base64decoded - 2026-01-21T162431.663.jfif,COL 1. 62812 70422,,False,COL 2. 64176 91848,COL 2. 64176 91848,True,COL 3. 61712 62248,,False,1/3
172.png,172.png,COL 1. 21544 62158,COL 1. 21544 62158,True,COL 2. 63319 01591,COL 2. 63319 01591,True,COL 3. 19531 30029,COL 3. 19531 30029,True,3/3
base64decoded - 2026-01-21T155930.685.png,base64decoded - 2026-01-21T155930.685.png,COL 1. 42587 97328,COL 1. 42583 87328,False,COL 2. 31610 51511,,False,COL 3. 96304 77711,,False,0/3
base64decoded (16).png,base64decoded (16).png,COL 1. 05509 75163,COL 1. 05509 75163,True,COL 2. 40049 34520,COL 2. 40049 34520,True,COL 3. 60886 50797,,False,2/3
358.png,358.png,COL 1. 87856 76160,COL 1. 87856 76160,True,COL 2. 76013 61871,,False,COL 3. 30752 08133,,False,1/3
base64decoded - 2026-01-21T163703.809.png,base64decoded - 2026-01-21T163703.809.png,COL 1. 12050 33632,COL 1. 12050 33632,True,COL 2. 20183 96446,COL 2. 20183 96446,True,COL 3. 61810 87532,COL 3. 61810 87532,True,3/3
364.png,364.png,COL 1. 19748 52530,COL 1. 19748 52530,True,COL 2. 71312 01791,COL 2. 71312 01791,True,COL 3. 63537 28938,COL 3. 63537 28938,True,3/3
370.png,370.png,COL 1. 32826 77715,COL 1. 32826 77715,True,COL 2. 34607 50810,COL 2. 34607 50810,True,COL 3. 06309 64758,COL 3. 06309 64758,True,3/3
237.jpeg,237.jpeg,COL 1. 49516 85513,COL 1. 49516 85513,True,COL 2. 40097 30565,COL 2. 40097 30565,True,COL 3. 60581 57908,COL 3. 60581 57908,True,3/3
base64decoded - 2026-01-21T161621.044.png,base64decoded - 2026-01-21T161621.044.png,COL 1. 35488 47831,COL 1. 35488 47831,True,COL 2. 40153 03465,COL 2. 40153 03465,True,COL 3. 41543 88750,COL 3. 41543 88750,True,3/3
317.png,317.png,COL 1. 02529 77195,COL 1. 02529 77195,True,COL 2. 11616 51510,COL 2. 11616 51510,True,COL 3. 96507 79636,COL 3. 96507 79636,True,3/3
base64decoded - 2026-01-21T161447.447.jpeg,base64decoded - 2026-01-21T161447.447.jpeg,COL 1. 09461 20132,COL 1. 09461 20132,True,COL 2. 40173 91441,COL 2. 40173 91441,True,COL 3. 61712 87547,COL 3. 61712 87547,True,3/3
303.png,303.png,COL 1. 69813 96720,,False,COL 2. 64007 20856,COL 2. 64007 20856,True,COL 3. 05595 67526,,False,1/3
base64decoded - 2026-01-21T161051.620.png,base64decoded - 2026-01-21T161051.620.png,COL 1. 59884 94399,COL 1. 59884 94399,True,COL 2. 06107 90871,COL 2. 06107 90871,True,COL 3. 51379 00652,COL 3. 51379 00652,True,3/3
129.png,129.png,COL 1. 98829 50739,COL 1. 98829 50739,True,COL 2. 96100 90840,COL 2. 96100 90840,True,COL 3. 31418 02744,COL 3. 31418 02744,True,3/3
base64decoded - 2026-01-21T161425.455.jpeg,base64decoded - 2026-01-21T161425.455.jpeg,COL 1. 16340 32474,COL 1. 16340 32474,True,COL 2. 70312 31389,COL 2. 70312 31389,True,COL 3. 43531 92473,COL 3. 43531 92473,True,3/3
115.png,115.png,COL 1. 53518 33891,COL 1. 53518 23891,False,COL 2. 11416 61555,COL 2. 11416 61555,True,COL 3. 94567 76134,COL 3. 94567 76134,True,2/3
base64decoded - 2026-01-21T161100.710.png,base64decoded - 2026-01-21T161100.710.png,COL 1. 96801 06410,COL 1. 96801 06410,True,COL 2. 46047 24858,COL 2. 46047 24858,True,COL 3. 50896 07945,COL 3. 50896 07945,True,3/3
101.png,101.png,COL 1. 96476 05643,COL 1. 96476 05643,True,COL 2. 00069 36425,COL 2. 00069 36425,True,COL 3. 60880 89364,COL 3. 60880 89364,True,3/3
28.png,28.png,COL 1. 23863 59893,COL 1. 23863 59893,True,COL 2. 24065 66876,COL 2. 24065 66876,True,COL 3. 10850 67408,COL 3. 10850 67408,True,3/3
base64decoded - 2026-01-21T154713.305.png,base64decoded - 2026-01-21T154713.305.png,COL 1. 82861 45573,,False,COL 2. 96047 34826,,False,COL 3. 20886 01720,COL 3. 20886 01720,True,1/3
base64decoded (6).png,base64decoded (6).png,COL 1. 49371 16131,,False,COL 2. 20016 21352,,False,COL 3. 20591 93379,COL 3. 20591 93379,True,1/3
base64decoded - 2026-01-21T162440.803.jfif,base64decoded - 2026-01-21T162440.803.jfif,COL 1. 43325 97335,COL 1. 43325 97335,True,COL 2. 71650 53315,COL 2. 71650 53315,True,COL 3. 06503 48649,COL 3. 06503 48649,True,3/3
263.png,263.png,COL 1. 04509 39284,COL 1. 04509 39284,True,COL 2. 60003 60570,,False,COL 3. 80458 52521,,False,1/3
base64decoded - 2026-01-21T151818.252.png,base64decoded - 2026-01-21T151818.252.png,COL 1. 91543 89050,,False,COL 2. 33002 60570,,False,COL 3. 00458 37848,,False,0/3
277.png,277.png,COL 1. 71037 65031,COL 1. 71037 65031,True,COL 2. 50109 00460,COL 2. 50109 00460,True,COL 3. 31545 89581,COL 3. 31545 89581,True,3/3
base64decoded - 2026-01-21T154938.298.png,base64decoded - 2026-01-21T154938.298.png,COL 1. 67509 64505,COL 1. 67509 64505,True,COL 2. 50139 93575,COL 2. 50139 93575,True,COL 3. 61573 59637,COL 3. 61573 59637,True,3/3
288.png,288.png,COL 1. 06357 97023,COL 1. 06357 97023,True,COL 2. 80608 50311,COL 2. 80608 50311,True,COL 3. 26408 96077,COL 3. 26408 96077,True,3/3
base64decoded (70).png,base64decoded (70).png,COL 1. 04054 79136,COL 1. 04054 79136,True,COL 2. 00019 61472,,False,COL 3. 30551 84732,COL 3. 30551 84732,True,2/3
base64decoded - 2026-01-21T154655.894.png,base64decoded - 2026-01-21T154655.894.png,COL 1. 61316 29035,COL 1. 61316 29035,True,COL 2. 00106 60342,COL 2. 00106 60342,True,COL 3. 51329 90697,COL 3. 51329 90697,True,3/3
197.jpeg,197.jpeg,COL 1. 13551 07538,COL 1. 13551 07538,True,COL 2. 71644 54516,COL 2. 71644 54516,True,COL 3. 76806 12505,COL 3. 76806 12505,True,3/3
289.png,289.png,COL 1. 84585 89414,COL 1. 84585 89414,True,COL 2. 41144 64540,COL 2. 41144 64540,True,COL 3. 91826 12187,COL 3. 91826 12187,True,3/3
276.png,276.png,COL 1. 63568 73159,COL 1. 63568 73159,True,COL 2. 91416 61551,COL 2. 91416 61551,True,COL 3. 04567 75104,COL 3. 04567 75104,True,3/3
base64decoded - 2026-01-21T154015.090.png,base64decoded - 2026-01-21T154015.090.png,COL 1. 76821 77642,COL 1. 76821 77642,True,COL 2. 34663 56818,COL 2. 34663 56818,True,COL 3. 66800 60460,COL 3. 66800 60460,True,3/3
base64decoded (27).png,base64decoded (27).png,COL 1. 67807 47548,COL 1. 67807 47548,True,COL 2. 86102 00861,COL 2. 86102 00861,True,COL 3. 51349 00162,COL 3. 51349 00162,True,3/3
base64decoded - 2026-01-21T160619.691.png,base64decoded - 2026-01-21T160619.691.png,COL 1. 33882 74269,,False,COL 2. 54103 90876,COL 2. 54103 90876,True,COL 3. 11575 61291,COL 3. 11575 61291,True,2/3
base64decoded - 2026-01-21T153107.998.png,base64decoded - 2026-01-21T153107.998.png,COL 1. 68366 23465,COL 1. 68366 23465,True,COL 2. 81442 64358,COL 2. 81442 64358,True,COL 3. 04866 45918,,False,2/3
base64decoded - 2026-01-21T162301.177.png,base64decoded - 2026-01-21T162301.177.png,COL 1. 58543 63367,COL 1. 58543 63367,True,COL 2. 00436 61553,COL 2. 00436 61553,True,COL 3. 64364 53303,COL 3. 64364 53303,True,3/3
base64decoded (31).png,base64decoded (31).png,COL 1. 16587 99527,,False,COL 2. 51114 61549,COL 2. 51114 61549,True,COL 3. 81521 77485,,False,1/3
29.png,29.png,COL 1. 09814 54187,COL 1. 09814 54187,True,COL 2. 46111 91878,COL 2. 46111 91878,True,COL 3. 51772 06054,COL 3. 51772 96054,False,2/3
base64decoded - 2026-01-21T153931.941.png,base64decoded - 2026-01-21T153931.941.png,COL 1. 44581 63691,COL 1. 44581 63691,True,COL 2. 41464 66555,COL 2. 41464 66555,True,COL 3. 84860 70593,COL 3. 84860 70593,True,3/3
base64decoded - 2026-01-21T163824.960.png,base64decoded - 2026-01-21T163824.960.png,COL 1. 04406 93141,COL 1. 04406 93141,True,COL 2. 90433 61450,COL 2. 90433 61450,True,COL 3. 24364 84619,COL 3. 24364 84619,True,3/3
base64decoded - 2026-01-21T162359.224.jpeg,base64decoded - 2026-01-21T162359.224.jpeg,COL 1. 06137 00064,,False,COL 2. 71056 20750,,False,COL 3. 60595 21856,,False,0/3
base64decoded - 2026-01-21T155034.525.png,base64decoded - 2026-01-21T155034.525.png,COL 1. 13708 74175,COL 1. 13708 74175,True,COL 2. 11119 91771,COL 2. 11119 91771,True,COL 3. 21571 26453,COL 3. 21571 26453,True,3/3
210.jpeg,210.jpeg,COL 1. 59405 93041,COL 1. 59405 93041,True,COL 2. 80409 60450,COL 2. 80409 60450,True,COL 3. 64369 83232,COL 3. 64869 83292,False,2/3
base64decoded - 2026-01-21T164543.932.jpeg,base64decoded - 2026-01-21T164543.932.jpeg,COL 1. 43524 50105,,False,COL 2. 23130 91543,COL 2. 23130 91543,True,COL 3. 61314 30170,COL 3. 61314 30170,True,2/3
114.png,114.png,COL 1. 79404 83046,,False,COL 2. 00409 60450,,False,COL 3. 34468 88594,,False,0/3
128.png,128.png,COL 1. 04547 97562,COL 1. 04547 97562,True,COL 2. 30603 50510,COL 2. 30603 50510,True,COL 3. 26505 59645,COL 3. 26505 59645,True,3/3
100.jpg,100.jpg,COL 1. 24421 97889,COL 1. 24421 97889,True,COL 2. 30669 56415,COL 2. 30669 56415,True,COL 3. 69800 86140,COL 3. 69800 86140,True,3/3
base64decoded (66).png,base64decoded (66).png,COL 1. 96353 46105,COL 1. 96353 46105,True,COL 2. 93012 61571,,False,COL 3. 00752 36595,COL 3. 00752 36595,True,2/3
base64decoded (89).png,base64decoded (89).png,COL 1. 31501 34816,,False,COL 2. 20169 96576,COL 2. 20169 96576,True,COL 3. 21870 54788,COL 3. 21870 54788,True,2/3
base64decoded - 2026-01-21T161000.148.png,base64decoded - 2026-01-21T161000.148.png,COL 1. 76181 75662,COL 1. 76181 75662,True,COL 2. 41402 60754,COL 2. 41402 60754,True,COL 3. 64565 20069,COL 3. 64565 20069,True,3/3
302.png,302.png,COL 1. 44560 27112,COL 1. 44560 27112,True,COL 2. 11617 51511,COL 2. 11617 51511,True,COL 3. 56702 16838,COL 3. 56702 16838,True,3/3
316.png,316.png,COL 1. 17342 17431,COL 1. 17342 17431,True,COL 2. 11042 34326,COL 2. 11042 34126,False,COL 3. 40886 40898,COL 3. 40886 40896,False,1/3
base64decoded - 2026-01-21T163942.880.jpg,base64decoded - 2026-01-21T163942.880.jpg,COL 1. 28561 29652,COL 1. 28561 29652,True,COL 2. 91089 66578,COL 2. 91089 66578,True,COL 3. 60850 14167,COL 3. 60850 14167,True,3/3
base64decoded - 2026-01-21T154250.405.png,base64decoded - 2026-01-21T154250.405.png,COL 1. 72559 37464,COL 1. 72559 37464,True,COL 2. 60649 54516,COL 2. 60649 54516,True,COL 3. 06806 54831,,False,2/3
328.png,328.png,COL 1. 48546 55136,COL 1. 48546 55136,True,COL 2. 33016 31520,COL 2. 33016 31520,True,COL 3. 00587 34500,COL 3. 00587 34500,True,3/3
300.png,300.png,COL 1. 91057 47464,COL 1. 91057 47464,True,COL 2. 50343 04594,COL 2. 50343 04594,True,COL 3. 63836 57206,COL 3. 63836 57206,True,3/3
230.jpeg,230.jpeg,COL 1. 32517 37154,COL 1. 32517 37154,True,COL 2. 71195 00542,COL 2. 71195 00542,True,COL 3. 91541 75052,COL 3. 91541 75052,True,3/3
314.png,314.png,COL 1. 42844 32459,COL 1. 42844 32458,False,COL 2. 26340 04896,COL 2. 26340 04896,True,COL 3. 33836 04207,COL 3. 33836 04207,True,2/3
base64decoded - 2026-01-21T162214.127.png,base64decoded - 2026-01-21T162214.127.png,COL 1. 74838 87185,COL 1. 74838 87185,True,COL 2. 74613 51819,COL 2. 74613 51819,True,COL 3. 16507 62900,COL 3. 16507 62900,True,3/3
41.jpeg,41.jpeg,COL 1. 94338 32308,,False,COL 2. 70335 03394,COL 2. 70335 03396,False,COL 3. 23533 91636,COL 3. 23533 91636,True,1/3
base64decoded - 2026-01-21T160752.313.png,base64decoded - 2026-01-21T160752.313.png,COL 1. 56585 87826,COL 1. 56585 87826,True,COL 2. 71644 54510,COL 2. 71644 54510,True,COL 3. 96806 72963,COL 3. 96806 72963,True,3/3
base64decoded (11).png,base64decoded (11).png,COL 1. 10365 67894,COL 1. 10365 67894,True,COL 2. 10646 54318,COL 2. 10646 54318,True,COL 3. 26806 96730,COL 3. 26806 96730,True,3/3
base64decoded - 2026-01-21T152013.962.png,base64decoded - 2026-01-21T152013.962.png,COL 1. 20580 99668,COL 1. 20580 99668,True,COL 2. 20169 66542,COL 2. 20169 66542,True,COL 3. 61820 55610,COL 3. 61820 55610,True,3/3
102.png,102.png,COL 1. 30556 59450,,False,COL 2. 51144 64548,COL 2. 51144 64548,True,COL 3. 91826 13568,COL 3. 91826 13568,True,2/3
base64decoded - 2026-01-21T163925.327.jpg,base64decoded - 2026-01-21T163925.327.jpg,COL 1. 37495 14042,COL 1. 37495 14042,True,COL 2. 10133 90473,COL 2. 10133 90473,True,COL 3. 31379 84373,COL 3. 31379 84373,True,3/3
base64decoded - 2026-01-21T155744.056.png,base64decoded - 2026-01-21T155744.056.png,COL 1. 16575 36656,COL 1. 16575 36656,True,COL 2. 60069 26555,COL 2. 60069 26555,True,COL 3. 20890 59568,COL 3. 20890 59568,True,3/3
base64decoded - 2026-01-21T160035.150.png,base64decoded - 2026-01-21T160035.150.png,COL 1. 90519 45153,COL 1. 90519 45153,True,COL 2. 81010 31521,COL 2. 81010 31521,True,COL 3. 60587 15221,COL 3. 60587 15221,True,3/3
base64decoded (46).png,base64decoded (46).png,COL 1. 46589 99788,COL 1. 46589 99788,True,COL 2. 50119 61541,,False,COL 3. 61527 55286,,False,1/3
64.jfif,64.jfif,COL 1. 14513 79701,,False,COL 2. 10113 61548,COL 2. 10113 61548,True,COL 3. 61722 51786,COL 3. 61722 51786,True,2/3
base64decoded - 2026-01-21T160541.085.png,base64decoded - 2026-01-21T160541.085.png,COL 1. 36511 25113,,False,COL 2. 81010 31527,COL 2. 81010 31527,True,COL 3. 90782 11493,COL 3. 90782 11493,True,2/3
base64decoded - 2026-01-21T155950.914.png,base64decoded - 2026-01-21T155950.914.png,COL 1. 04803 02344,COL 1. 04803 02344,True,COL 2. 26337 03890,COL 2. 26337 03890,True,COL 3. 93533 06010,COL 3. 93533 06010,True,3/3
base64decoded - 2026-01-21T160258.425.png,base64decoded - 2026-01-21T160258.425.png,COL 1. 66056 81125,COL 1. 66056 81125,True,COL 2. 00116 91379,,False,COL 3. 41577 98779,COL 3. 41577 98779,True,2/3
base64decoded (50).png,base64decoded (50).png,COL 1. 91746 19956,COL 1. 91746 19956,True,COL 2. 21039 63773,COL 2. 21039 63773,True,COL 3. 80553 27192,,False,2/3
base64decoded - 2026-01-21T161906.911.jpeg,base64decoded - 2026-01-21T161906.911.jpeg,COL 1. 13088 16134,COL 1. 13088 16134,True,COL 2. 50415 61459,,False,COL 3. 64561 86179,COL 3. 64561 86179,True,2/3
248.png,248.png,COL 1. 73888 77791,COL 1. 73888 77791,True,COL 2. 64117 01866,COL 2. 64117 01866,True,COL 3. 66742 67558,COL 3. 66742 67558,True,3/3
33.jfif,33.jfif,COL 1. 53402 87884,,False,COL 2. 60142 04466,COL 2. 80142 04486,False,COL 3. 61846 86926,COL 3. 61848 88828,False,0/3
